spec,variable,beta,se,t
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_2,0.124539,75659363.492277,0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_3,-0.336509,73048531.705938,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_4,-0.121355,65387300.511955,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_5,-0.21875,81445782.566697,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.33646,0.22564,-1.49
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,-0.038328,0.235765,-0.16
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,0.131067,0.303098,0.43
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),alpha_slope_z,0.064282,0.069669,0.92
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_z,-0.16925,0.283733,-0.6
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,0.101858,0.0,0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,0.545772,0.465506,1.17
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,-0.032526,0.466259,-0.07
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),alpha_slope_z,-0.110066,0.186776,-0.59
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),free_float,-0.259186,0.730273,-0.35
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_z,-0.351772,0.665649,-0.53
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_ff,-1.847664,1.248079,-1.48
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),slope_x_ff,0.556526,0.687007,0.81
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_x_ff,0.320697,3.724512,0.09
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_1,-0.187844,36424144.619736,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_2,0.049393,0.0,0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_3,-0.512579,18034965.292117,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_4,-0.201989,19842775.937248,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_5,-0.320055,0.0,0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.185385,0.318427,-0.58
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,0.513573,0.425879,1.21
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,0.10185,0.296048,0.34
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),alpha_slope_z,-0.113778,0.167276,-0.68
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),free_float,-0.240947,0.660601,-0.36
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_z,-0.559711,0.686722,-0.82
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_ff,-1.541107,1.223501,-1.26
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),slope_x_ff,0.667268,0.636177,1.05
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_x_ff,1.073069,3.89345,0.28
